"name","wikidata_id","wikidata_label","wikidata_description"
"Jorge Kalil","Q56378220","Jorge Elias Kalil Filho","researcher"
"Anderson Fernandes de Brito","Q88892261","NONE","NONE"
"Vanderson Sampaio","Q56438521","Vanderson Souza Sampaio","researcher"
"Marcelo Bragatte","Q91445181","Marcelo A Bragatte","researcher (ORCID 0000-0001-6031-4755)"
"Ester Sabino","Q87399923","Ester Sabino","Brazilian immunologist, researcher and university teacher"
"Helder Nakaya","Q42614737","Helder Nakaya","researcher"
"Cesar Gomes Victora","Q30348011","Cesar Victora","researcher"
"Adalberto Luís Val","Q69897681","Adalberto Luis Val","brazilian biologist, researcher and university teacher"
"Ana Tereza Ribeiro de Vasconcelos","Q38801050","Ana Tereza R Vasconcelos","researcher"
"Esper Georges Kallas","Q30153142","Esper Georges Kallas","researcher"
"Luiz Fernando Reis","Q16337815","Luiz Fernando Reis","Mathematician and Carnival Producer"
"Luiz Vicente Rizzo","Q91768785","Luiz Vicente Rizzo","researcher (ORCID 0000-0001-9949-9849)"
"Manoel Barral","Q73118744","Manoel Barral Netto","researcher"
"Marcia Castro","Q48246406","Marcia Caldas de Castro","associate professor at Harvard School"
"Paulo Buss","Q108199863","Paulo Marchiori Buss","NONE"
"Pedro Vasconcelos ","Q28754343","Pedro Fernando da Costa Vasconcelos","researcher"
"Cesar Gomes Victora","Q30348011","Cesar Victora","researcher"
"Cristiana Toscano","Q95990480","Cristiana M Toscano","researcher"
"Eugênio Vilaça Mendes","Q115514055","Eugênio Vilaça Mendes","NONE"
"Gonzalo Vecina Neto","Q110811347","Gonzalo Vecina Neto","brazilian physician, researcher and university professor"
"João Fernando Gomes de Oliveira","Q116513302","Carlos Marighella","Brazilian politician, writer, and guerrilla fighter"
"Marcia Castro","Q48246406","Marcia Caldas de Castro","associate professor at Harvard School"
"Pedro Moreira Salles","Q7159806","Pedro Moreira Salles","Brazilian banker"
